iter	Passed	Remaining
0	1	1599
1	3	1563
2	4	1545
3	6	1589
4	8	1603
5	9	1582
6	11	1589
7	12	1611
8	14	1625
9	16	1631
10	18	1621
11	19	1611
12	21	1622
13	22	1618
14	24	1619
15	26	1618
16	27	1610
17	29	1622
18	31	1615
19	32	1609
20	34	1608
21	36	1603
22	37	1598
23	39	1598
24	40	1598
25	42	1597
26	44	1606
27	46	1602
28	47	1602
29	49	1606
30	51	1601
31	52	1597
32	54	1594
33	56	1593
34	57	1590
35	59	1591
36	61	1588
37	62	1588
38	64	1592
39	66	1591
40	68	1593
41	69	1592
42	71	1589
43	73	1592
44	74	1590
45	76	1590
46	78	1587
47	80	1590
48	81	1588
49	83	1587
50	85	1584
51	86	1581
52	88	1581
53	90	1577
54	91	1575
55	93	1578
56	95	1575
57	96	1573
58	98	1575
59	100	1574
60	102	1571
61	103	1570
62	105	1568
63	107	1568
64	108	1565
65	110	1563
66	112	1561
67	113	1560
68	115	1560
69	117	1557
70	119	1557
71	120	1555
72	122	1556
73	124	1553
74	125	1551
75	127	1549
76	129	1546
77	130	1546
78	132	1545
79	134	1542
80	135	1541
81	137	1540
82	139	1540
83	141	1537
84	142	1535
85	144	1532
86	146	1533
87	147	1531
88	149	1529
89	151	1528
90	152	1526
91	154	1526
92	156	1526
93	158	1524
94	159	1521
95	161	1519
96	163	1518
97	165	1519
98	166	1517
99	168	1514
100	169	1512
101	171	1511
102	173	1511
103	175	1510
104	177	1510
105	179	1510
106	180	1507
107	182	1505
108	183	1502
109	185	1500
110	187	1500
111	189	1499
112	190	1497
113	192	1495
114	194	1493
115	195	1491
116	197	1489
117	199	1487
118	200	1485
119	202	1484
120	204	1482
121	205	1482
122	207	1480
123	209	1477
124	210	1476
125	212	1474
126	214	1472
127	215	1470
128	217	1467
129	219	1465
130	220	1464
131	222	1464
132	224	1462
133	225	1460
134	227	1458
135	229	1457
136	231	1455
137	232	1454
138	234	1452
139	236	1450
140	237	1448
141	239	1446
142	241	1444
143	242	1442
144	244	1440
145	246	1439
146	247	1437
147	249	1434
148	250	1433
149	252	1432
150	254	1430
151	256	1430
152	257	1427
153	259	1426
154	261	1425
155	263	1423
156	264	1421
157	266	1420
158	268	1418
159	269	1416
160	271	1414
161	273	1413
162	274	1411
163	276	1409
164	278	1408
165	280	1407
166	281	1405
167	283	1403
168	285	1401
169	286	1400
170	288	1398
171	290	1397
172	291	1395
173	293	1392
174	295	1392
175	296	1390
176	298	1388
177	300	1386
178	301	1384
179	303	1382
180	305	1380
181	306	1378
182	308	1376
183	310	1375
184	312	1375
185	313	1373
186	315	1371
187	316	1369
188	318	1367
189	320	1365
190	321	1363
191	323	1360
192	324	1358
193	326	1357
194	328	1357
195	330	1355
196	332	1353
197	333	1352
198	335	1350
199	337	1349
200	339	1347
201	340	1346
202	342	1343
203	343	1342
204	345	1340
205	347	1338
206	348	1336
207	350	1334
208	352	1333
209	354	1331
210	355	1329
211	357	1327
212	358	1325
213	360	1323
214	362	1322
215	363	1321
216	365	1319
217	367	1317
218	369	1316
219	370	1313
220	372	1312
221	373	1310
222	375	1308
223	377	1307
224	379	1305
225	380	1304
226	382	1302
227	384	1300
228	385	1299
229	387	1297
230	389	1295
231	390	1293
232	392	1291
233	394	1290
234	396	1289
235	397	1287
236	399	1286
237	401	1284
238	402	1282
239	404	1280
240	406	1279
241	407	1277
242	409	1276
243	411	1274
244	413	1273
245	414	1271
246	416	1269
247	418	1268
248	420	1267
249	421	1265
250	423	1264
251	425	1262
252	427	1261
253	429	1260
254	430	1259
255	432	1257
256	434	1255
257	435	1253
258	437	1252
259	439	1250
260	440	1248
261	442	1247
262	444	1245
263	446	1243
264	447	1242
265	449	1240
266	451	1238
267	452	1236
268	454	1235
269	456	1233
270	458	1232
271	459	1230
272	461	1229
273	463	1227
274	465	1226
275	466	1224
276	468	1222
277	470	1220
278	471	1219
279	473	1217
280	475	1216
281	476	1214
282	478	1212
283	480	1211
284	481	1209
285	483	1207
286	485	1206
287	487	1203
288	488	1202
289	490	1201
290	492	1199
291	493	1197
292	495	1195
293	497	1194
294	498	1192
295	500	1190
296	502	1188
297	503	1187
298	505	1185
299	507	1184
300	509	1182
301	511	1181
302	512	1179
303	514	1177
304	516	1175
305	517	1174
306	519	1173
307	521	1171
308	522	1169
309	524	1167
310	526	1166
311	528	1164
312	529	1162
313	531	1160
314	533	1159
315	534	1157
316	536	1156
317	538	1154
318	540	1152
319	541	1151
320	543	1149
321	544	1147
322	546	1145
323	548	1143
324	549	1141
325	551	1139
326	552	1138
327	554	1136
328	556	1134
329	558	1133
330	559	1131
331	561	1129
332	563	1128
333	564	1126
334	566	1124
335	568	1122
336	569	1121
337	571	1119
338	572	1117
339	574	1115
340	576	1113
341	578	1112
342	579	1110
343	581	1108
344	583	1107
345	585	1106
346	586	1104
347	588	1102
348	590	1100
349	591	1099
350	593	1097
351	595	1096
352	597	1094
353	598	1092
354	600	1091
355	602	1089
356	604	1088
357	605	1086
358	607	1084
359	608	1082
360	610	1080
361	612	1079
362	613	1077
363	615	1075
364	617	1074
365	619	1072
366	620	1070
367	622	1069
368	624	1067
369	625	1065
370	627	1064
371	629	1062
372	631	1060
373	632	1059
374	634	1057
375	636	1055
376	638	1054
377	639	1052
378	641	1050
379	642	1049
380	644	1047
381	646	1045
382	648	1044
383	650	1042
384	651	1041
385	653	1039
386	654	1037
387	656	1035
388	658	1033
389	659	1031
390	661	1030
391	663	1028
392	664	1026
393	666	1024
394	668	1023
395	669	1021
396	671	1019
397	673	1017
398	674	1016
399	676	1014
400	677	1012
401	679	1010
402	681	1009
403	683	1007
404	684	1006
405	686	1004
406	688	1002
407	689	1001
408	691	999
409	693	997
410	695	996
411	696	994
412	698	992
413	700	991
414	702	989
415	703	987
416	705	986
417	707	984
418	708	983
419	710	981
420	712	979
421	714	978
422	715	976
423	717	974
424	719	972
425	720	971
426	722	969
427	724	967
428	726	966
429	727	964
430	729	962
431	731	961
432	732	959
433	734	958
434	736	956
435	738	954
436	739	953
437	741	951
438	743	950
439	745	948
440	747	947
441	749	945
442	750	943
443	752	942
444	754	940
445	756	939
446	757	937
447	759	935
448	761	933
449	762	932
450	764	930
451	766	928
452	768	927
453	769	925
454	771	924
455	773	922
456	774	920
457	776	918
458	778	917
459	780	915
460	781	913
461	783	912
462	784	910
463	786	908
464	788	906
465	789	905
466	791	903
467	793	901
468	794	899
469	796	898
470	798	896
471	800	895
472	802	893
473	803	892
474	805	890
475	807	888
476	809	887
477	811	885
478	812	884
479	814	882
480	816	880
481	817	879
482	819	877
483	821	875
484	823	874
485	824	872
486	826	870
487	828	869
488	829	867
489	831	865
490	833	864
491	835	862
492	836	860
493	838	859
494	840	857
495	842	855
496	843	853
497	845	852
498	847	850
499	848	848
500	850	847
501	852	845
502	854	844
503	856	842
504	858	841
505	859	839
506	861	837
507	863	836
508	864	834
509	866	832
510	868	830
511	869	829
512	871	827
513	873	826
514	875	824
515	876	822
516	878	820
517	880	819
518	882	817
519	884	816
520	885	814
521	888	813
522	889	811
523	891	809
524	893	808
525	894	806
526	896	804
527	898	803
528	900	801
529	902	799
530	903	798
531	905	796
532	907	794
533	908	793
534	910	791
535	912	789
536	913	788
537	915	786
538	917	784
539	918	782
540	920	780
541	922	779
542	923	777
543	925	775
544	927	774
545	929	772
546	931	771
547	933	769
548	935	768
549	936	766
550	938	764
551	940	763
552	941	761
553	943	759
554	945	758
555	947	756
556	948	754
557	950	753
558	952	751
559	954	749
560	955	748
561	957	746
562	959	744
563	960	742
564	962	741
565	964	739
566	965	737
567	967	735
568	969	734
569	970	732
570	972	730
571	974	728
572	975	727
573	977	725
574	979	723
575	980	722
576	982	720
577	984	718
578	986	717
579	988	715
580	989	713
581	991	711
582	992	710
583	994	708
584	996	706
585	998	705
586	999	703
587	1001	701
588	1003	699
589	1004	698
590	1006	696
591	1007	694
592	1009	692
593	1011	691
594	1013	689
595	1014	687
596	1016	686
597	1018	684
598	1020	682
599	1022	681
600	1023	679
601	1025	677
602	1027	676
603	1028	674
604	1030	672
605	1032	671
606	1033	669
607	1035	667
608	1037	665
609	1039	664
610	1040	662
611	1042	661
612	1044	659
613	1046	657
614	1047	655
615	1049	654
616	1050	652
617	1052	650
618	1054	648
619	1056	647
620	1057	645
621	1059	643
622	1061	642
623	1062	640
624	1064	638
625	1065	636
626	1067	635
627	1069	633
628	1071	631
629	1072	630
630	1074	628
631	1076	626
632	1078	625
633	1079	623
634	1081	621
635	1083	619
636	1085	618
637	1086	616
638	1088	614
639	1090	613
640	1091	611
641	1093	609
642	1095	608
643	1097	606
644	1098	604
645	1100	603
646	1102	601
647	1104	599
648	1105	598
649	1107	596
650	1109	594
651	1110	592
652	1112	591
653	1114	589
654	1115	587
655	1117	586
656	1119	584
657	1121	582
658	1123	581
659	1124	579
660	1126	577
661	1128	575
662	1129	574
663	1131	572
664	1133	570
665	1134	569
666	1136	567
667	1138	565
668	1139	564
669	1141	562
670	1143	560
671	1145	558
672	1146	557
673	1148	555
674	1150	553
675	1152	552
676	1154	550
677	1156	549
678	1159	547
679	1161	546
680	1162	544
681	1164	542
682	1166	541
683	1168	539
684	1169	538
685	1172	536
686	1175	535
687	1177	533
688	1179	532
689	1180	530
690	1182	528
691	1184	527
692	1186	525
693	1187	523
694	1189	521
695	1191	520
696	1192	518
697	1194	516
698	1196	515
699	1197	513
700	1199	511
701	1201	510
702	1203	508
703	1204	506
704	1206	504
705	1208	503
706	1210	501
707	1211	499
708	1213	498
709	1215	496
710	1217	494
711	1218	492
712	1220	491
713	1222	489
714	1224	487
715	1226	486
716	1227	484
717	1229	482
718	1231	481
719	1232	479
720	1234	477
721	1236	476
722	1238	474
723	1239	472
724	1241	470
725	1243	469
726	1244	467
727	1246	465
728	1248	463
729	1249	462
730	1251	460
731	1253	458
732	1254	457
733	1256	455
734	1258	453
735	1260	451
736	1261	450
737	1263	448
738	1264	446
739	1266	445
740	1268	443
741	1270	441
742	1271	439
743	1273	438
744	1275	436
745	1276	434
746	1278	433
747	1280	431
748	1282	429
749	1283	427
750	1285	426
751	1287	424
752	1289	422
753	1290	421
754	1292	419
755	1294	417
756	1295	415
757	1297	414
758	1299	412
759	1300	410
760	1302	409
761	1304	407
762	1305	405
763	1307	403
764	1309	402
765	1310	400
766	1312	398
767	1314	396
768	1316	395
769	1317	393
770	1319	391
771	1321	390
772	1322	388
773	1324	386
774	1326	385
775	1327	383
776	1329	381
777	1331	379
778	1333	378
779	1334	376
780	1336	374
781	1338	373
782	1340	371
783	1341	369
784	1343	368
785	1345	366
786	1347	364
787	1349	362
788	1351	361
789	1352	359
790	1354	357
791	1356	356
792	1358	354
793	1359	352
794	1361	351
795	1363	349
796	1365	347
797	1366	346
798	1368	344
799	1370	342
800	1372	340
801	1374	339
802	1375	337
803	1377	335
804	1379	334
805	1380	332
806	1382	330
807	1384	328
808	1385	327
809	1387	325
810	1389	323
811	1391	322
812	1392	320
813	1394	318
814	1396	316
815	1398	315
816	1400	313
817	1401	311
818	1403	310
819	1405	308
820	1407	306
821	1408	305
822	1410	303
823	1412	301
824	1414	300
825	1416	298
826	1417	296
827	1419	294
828	1421	293
829	1423	291
830	1424	289
831	1426	288
832	1428	286
833	1430	284
834	1432	282
835	1433	281
836	1435	279
837	1437	277
838	1439	276
839	1441	274
840	1443	272
841	1444	271
842	1446	269
843	1448	267
844	1450	266
845	1452	264
846	1454	262
847	1455	260
848	1457	259
849	1459	257
850	1461	255
851	1462	254
852	1464	252
853	1466	250
854	1467	248
855	1469	247
856	1471	245
857	1473	243
858	1474	242
859	1476	240
860	1477	238
861	1479	236
862	1481	235
863	1483	233
864	1485	231
865	1486	230
866	1488	228
867	1490	226
868	1491	224
869	1493	223
870	1495	221
871	1497	219
872	1498	218
873	1500	216
874	1502	214
875	1504	212
876	1505	211
877	1507	209
878	1509	207
879	1511	206
880	1512	204
881	1514	202
882	1516	200
883	1518	199
884	1519	197
885	1521	195
886	1523	194
887	1525	192
888	1526	190
889	1528	188
890	1530	187
891	1532	185
892	1534	183
893	1535	182
894	1537	180
895	1538	178
896	1540	176
897	1542	175
898	1544	173
899	1545	171
900	1547	170
901	1549	168
902	1551	166
903	1552	164
904	1554	163
905	1556	161
906	1558	159
907	1559	158
908	1561	156
909	1563	154
910	1565	152
911	1566	151
912	1568	149
913	1570	147
914	1571	146
915	1573	144
916	1575	142
917	1577	140
918	1578	139
919	1580	137
920	1582	135
921	1584	134
922	1585	132
923	1587	130
924	1589	128
925	1591	127
926	1592	125
927	1594	123
928	1596	122
929	1598	120
930	1599	118
931	1601	116
932	1602	115
933	1604	113
934	1606	111
935	1608	109
936	1610	108
937	1611	106
938	1613	104
939	1615	103
940	1617	101
941	1618	99
942	1620	97
943	1622	96
944	1624	94
945	1625	92
946	1627	91
947	1629	89
948	1631	87
949	1633	85
950	1634	84
951	1636	82
952	1638	80
953	1639	79
954	1641	77
955	1643	75
956	1645	73
957	1646	72
958	1648	70
959	1650	68
960	1652	67
961	1654	65
962	1655	63
963	1657	61
964	1659	60
965	1660	58
966	1662	56
967	1664	55
968	1666	53
969	1668	51
970	1670	49
971	1672	48
972	1673	46
973	1675	44
974	1676	42
975	1678	41
976	1680	39
977	1682	37
978	1684	36
979	1685	34
980	1687	32
981	1689	30
982	1691	29
983	1692	27
984	1694	25
985	1696	24
986	1697	22
987	1699	20
988	1701	18
989	1702	17
990	1704	15
991	1706	13
992	1708	12
993	1710	10
994	1711	8
995	1713	6
996	1715	5
997	1716	3
998	1718	1
999	1720	0
